ID,Producto,Categoria,Precio,Descuento,Stock,Publicidad,Calificacion,Visitas_Web,Mes,Dia_Semana,Temporada,Ventas
73,Parlante,Accesorios,927.22,6,205,Si,3.8,5795,Marzo,Jueves,Normal,246
74,Escritorio,Computo,2578.05,20,258,No,3.2,6038,Julio,Domingo,Campaña Escolar,235
75,Teclado,Tecnologia,2632.14,34,186,No,3.9,1621,Julio,Domingo,Normal,221
76,Monitor,Accesorios,1206.0,31,46,Si,2.0,3816,Agosto,Miercoles,Fiestas Patrias,254
77,Monitor,Tecnologia,2633.03,24,364,No,1.4,8837,Noviembre,Martes,Black Friday,282
78,Audifonos,Tecnologia,3136.42,48,109,No,1.0,7450,Mayo,Miercoles,Navidad,315
79,Silla Gamer,Gaming,2968.06,8,464,No,4.8,2832,Junio,Lunes,Normal,171
80,Teclado,Gaming,2218.79,4,108,No,3.4,5638,Mayo,Lunes,Normal,168
81,Impresora,Computo,2638.26,22,153,Si,4.2,2206,Julio,Viernes,Navidad,263
82,Tablet,Gaming,2476.29,46,85,No,3.8,1003,Abril,Miercoles,Normal,246
83,Laptop,Gaming,2171.4,37,16,No,2.7,1241,Septiembre,Sabado,Campaña Escolar,196
84,Tablet,Tecnologia,315.24,18,145,No,2.5,1415,Noviembre,Miercoles,Navidad,226
85,Silla Gamer,Tecnologia,2848.54,6,226,No,3.4,3191,Diciembre,Miercoles,Navidad,183
86,Silla Gamer,Oficina,1335.4,38,100,Si,2.0,4318,Junio,Jueves,Fiestas Patrias,328
87,Monitor,Oficina,59.51,27,135,No,1.2,6669,Noviembre,Jueves,Campaña Escolar,274
88,Tablet,Gaming,2609.86,2,470,Si,2.0,554,Enero,Miercoles,Fiestas Patrias,185
89,Tablet,Gaming,1324.55,48,418,No,4.5,5079,Octubre,Sabado,Fiestas Patrias,367
90,Celular,Oficina,3423.09,44,326,No,2.3,4225,Noviembre,Martes,Navidad,274
91,Smartwatch,Accesorios,1856.4,10,261,No,1.3,9492,Noviembre,Lunes,Fiestas Patrias,227
92,Mouse,Accesorios,598.43,48,23,Si,2.2,3634,Noviembre,Miercoles,Campaña Escolar,316
93,Teclado,Tecnologia,2203.9,2,153,Si,3.9,7164,Enero,Martes,Black Friday,268
94,Celular,Oficina,2178.06,7,131,No,1.8,3769,Noviembre,Viernes,Campaña Escolar,176
95,Celular,Oficina,1249.67,49,37,Si,1.3,4885,Abril,Martes,Normal,245
96,Smartwatch,Oficina,2852.01,27,249,No,1.7,1631,Abril,Martes,Navidad,215
97,Laptop,Gaming,285.18,5,91,No,2.7,4854,Abril,Domingo,Normal,145
98,Teclado,Oficina,3265.9,49,260,No,1.2,1065,Noviembre,Viernes,Navidad,284
99,Smartwatch,Oficina,1330.09,0,155,No,4.9,7499,Octubre,Domingo,Navidad,253
100,Parlante,Gaming,2950.57,12,426,No,2.9,7316,Agosto,Martes,Black Friday,260
101,Audifonos,Accesorios,485.81,20,320,No,4.5,2050,Noviembre,Miercoles,Navidad,297
102,Silla Gamer,Accesorios,3197.82,22,494,No,3.9,4859,Mayo,Jueves,Normal,219
103,Monitor,Computo,2976.77,16,94,Si,2.8,6047,Junio,Miercoles,Navidad,239
104,Teclado,Accesorios,741.15,0,378,Si,4.0,3469,Abril,Jueves,Campaña Escolar,215
105,Mouse,Oficina,954.98,38,163,No,3.0,820,Julio,Miercoles,Navidad,286
106,Tablet,Tecnologia,1940.64,4,487,No,4.5,6594,Abril,Domingo,Black Friday,272
107,Disco SSD,Gaming,486.37,46,416,No,4.0,7046,Diciembre,Lunes,Navidad,404
108,Celular,Tecnologia,3162.97,33,303,No,3.4,8067,Junio,Miercoles,Black Friday,324
109,Camara,Gaming,1385.01,26,444,Si,4.6,1381,Octubre,Martes,Black Friday,274
110,Audifonos,Oficina,3188.44,29,256,No,3.1,2230,Agosto,Lunes,Black Friday,278
111,Silla Gamer,Oficina,2791.72,9,193,Si,4.4,2882,Diciembre,Martes,Black Friday,238
112,Router,Gaming,3430.51,1,214,Si,1.8,1956,Enero,Jueves,Navidad,137
113,Mouse,Oficina,1889.68,22,192,Si,3.3,6140,Marzo,Domingo,Black Friday,319
114,Laptop,Computo,652.94,24,204,No,4.5,716,Julio,Miercoles,Campaña Escolar,205
115,Impresora,Computo,2343.1,49,70,No,1.8,7620,Julio,Miercoles,Black Friday,317
116,Parlante,Tecnologia,1229.71,21,414,Si,3.2,6426,Agosto,Lunes,Navidad,349
117,Impresora,Accesorios,1258.85,45,43,Si,1.5,9995,Noviembre,Lunes,Normal,325
118,Monitor,Accesorios,2801.95,21,248,Si,3.0,2928,Enero,Viernes,Campaña Escolar,230
119,Teclado,Oficina,1332.96,16,35,Si,4.5,1326,Noviembre,Lunes,Navidad,247
120,Celular,Computo,3235.67,13,483,Si,4.0,2175,Junio,Martes,Navidad,256
121,Smartwatch,Accesorios,1629.62,44,163,Si,1.1,5176,Mayo,Lunes,Navidad,344
122,Disco SSD,Computo,2628.66,44,283,No,2.8,6932,Octubre,Sabado,Black Friday,340
123,Escritorio,Accesorios,1402.13,24,128,Si,2.5,8955,Febrero,Viernes,Campaña Escolar,328
124,Escritorio,Computo,330.43,43,34,Si,4.6,6218,Noviembre,Viernes,Normal,333
125,Impresora,Gaming,2383.28,2,242,Si,3.0,6421,Julio,Sabado,Fiestas Patrias,275
126,Camara,Computo,2614.13,48,245,No,1.5,2522,Enero,Domingo,Black Friday,301
127,Mouse,Oficina,1194.31,25,329,Si,3.3,926,Junio,Sabado,Black Friday,298
128,Tablet,Accesorios,46.22,20,207,No,2.5,6817,Diciembre,Viernes,Fiestas Patrias,265
129,Celular,Oficina,579.17,10,455,No,2.1,3785,Diciembre,Viernes,Fiestas Patrias,172
130,Parlante,Accesorios,3438.68,30,15,Si,2.6,8245,Febrero,Miercoles,Black Friday,322
131,Smartwatch,Oficina,38.44,48,103,No,1.7,5610,Octubre,Viernes,Black Friday,346
132,Laptop,Oficina,1678.64,44,309,Si,1.8,9383,Junio,Martes,Black Friday,432
133,Impresora,Computo,2494.11,19,234,No,3.9,6333,Junio,Miercoles,Navidad,266
134,Camara,Tecnologia,1024.43,36,391,Si,1.6,7038,Septiembre,Martes,Normal,289
135,Escritorio,Oficina,1873.41,32,399,No,2.3,59,Agosto,Viernes,Campaña Escolar,252
136,Silla Gamer,Oficina,722.02,39,139,Si,1.4,1392,Agosto,Domingo,Normal,280
137,Audifonos,Accesorios,2391.63,16,274,No,3.4,3540,Julio,Sabado,Campaña Escolar,212
138,Silla Gamer,Gaming,2910.56,43,443,No,1.5,8617,Junio,Jueves,Navidad,326
139,Tablet,Gaming,3468.43,33,85,No,2.5,2610,Junio,Miercoles,Black Friday,238
140,Audifonos,Computo,2949.56,7,276,No,4.2,6463,Abril,Lunes,Campaña Escolar,239
141,Mouse,Gaming,2802.39,34,222,Si,1.7,2948,Diciembre,Martes,Campaña Escolar,253
142,Escritorio,Oficina,1268.73,44,51,No,2.6,9560,Mayo,Sabado,Navidad,388
143,Mouse,Accesorios,2503.96,31,188,Si,3.5,6034,Mayo,Martes,Fiestas Patrias,296
144,Audifonos,Tecnologia,828.1,32,459,No,3.2,3737,Diciembre,Viernes,Campaña Escolar,312
145,Laptop,Tecnologia,817.01,38,444,No,2.7,1252,Septiembre,Miercoles,Campaña Escolar,245
146,Mouse,Tecnologia,2783.21,28,298,No,3.1,9496,Octubre,Miercoles,Black Friday,310
147,Celular,Computo,2014.56,28,47,No,4.0,1000,Marzo,Lunes,Fiestas Patrias,196
148,Mouse,Tecnologia,2504.94,4,132,Si,4.0,6078,Julio,Jueves,Normal,190
149,Teclado,Accesorios,405.0,35,374,Si,1.5,7913,Octubre,Miercoles,Normal,384
150,Mouse,Gaming,1712.52,3,341,Si,4.1,144,Julio,Viernes,Navidad,220
151,Smartwatch,Gaming,2102.58,35,301,No,3.9,2166,Julio,Jueves,Black Friday,257
152,Parlante,Gaming,1494.12,25,311,Si,3.5,7833,Julio,Miercoles,Navidad,330
153,Router,Tecnologia,1780.49,24,490,No,1.1,877,Abril,Sabado,Campaña Escolar,180
154,Silla Gamer,Tecnologia,3217.25,4,385,Si,1.1,176,Marzo,Martes,Campaña Escolar,149
155,Teclado,Tecnologia,550.84,27,296,No,3.4,5159,Julio,Jueves,Navidad,292
156,Audifonos,Tecnologia,596.01,35,191,No,4.3,3122,Abril,Miercoles,Fiestas Patrias,269
157,Mouse,Accesorios,3047.24,50,433,Si,3.4,7162,Mayo,Domingo,Navidad,369
158,Tablet,Tecnologia,2761.51,25,434,No,1.5,586,Septiembre,Martes,Campaña Escolar,195
159,Parlante,Accesorios,3025.04,37,395,No,2.9,8716,Febrero,Lunes,Campaña Escolar,293
160,Router,Gaming,801.62,43,260,No,1.6,2040,Mayo,Jueves,Normal,266
161,Escritorio,Computo,595.99,23,170,No,2.4,4807,Diciembre,Jueves,Fiestas Patrias,231
162,Celular,Tecnologia,1812.8,16,93,No,2.8,4293,Octubre,Lunes,Black Friday,218
163,Router,Computo,1462.89,27,72,Si,5.0,6754,Enero,Lunes,Campaña Escolar,288
164,Smartwatch,Computo,1402.67,50,388,No,4.2,2129,Octubre,Lunes,Campaña Escolar,281
165,Camara,Oficina,1649.45,48,438,No,2.5,7361,Mayo,Martes,Navidad,345
166,Silla Gamer,Oficina,2718.84,46,203,No,3.1,5282,Febrero,Jueves,Fiestas Patrias,286
167,Impresora,Computo,1414.66,37,444,No,1.6,6066,Noviembre,Lunes,Campaña Escolar,277
168,Tablet,Oficina,2641.3,9,467,Si,4.6,6355,Mayo,Sabado,Black Friday,300
169,Celular,Tecnologia,1442.39,22,64,Si,1.6,3512,Junio,Miercoles,Fiestas Patrias,233
170,Smartwatch,Oficina,792.46,23,480,No,3.7,8569,Septiembre,Domingo,Normal,287
171,Tablet,Tecnologia,382.3,46,238,No,1.7,7826,Abril,Viernes,Fiestas Patrias,368
172,Silla Gamer,Oficina,2822.5,23,87,Si,3.4,2588,Enero,Martes,Fiestas Patrias,236
173,Disco SSD,Computo,3370.02,36,191,Si,1.8,872,Agosto,Sabado,Black Friday,223
174,Laptop,Gaming,3126.5,46,206,No,2.4,4891,Abril,Sabado,Campaña Escolar,298
175,Camara,Tecnologia,2891.37,2,480,Si,1.1,1605,Septiembre,Jueves,Normal,116
176,Parlante,Tecnologia,1941.12,33,62,No,2.2,5669,Agosto,Lunes,Campaña Escolar,277
177,Disco SSD,Computo,3411.42,43,289,No,1.5,2729,Septiembre,Sabado,Fiestas Patrias,231
178,Parlante,Oficina,653.73,49,124,Si,3.0,2649,Agosto,Martes,Black Friday,361
179,Tablet,Accesorios,2451.98,24,368,Si,1.9,1351,Octubre,Viernes,Campaña Escolar,199
180,Audifonos,Oficina,967.63,10,335,No,4.7,5525,Junio,Domingo,Navidad,272
181,Parlante,Tecnologia,1753.36,33,26,No,2.6,7191,Mayo,Sabado,Fiestas Patrias,257
182,Parlante,Accesorios,58.27,20,36,No,4.6,695,Agosto,Viernes,Black Friday,255
183,Impresora,Gaming,2568.0,33,277,No,3.5,8696,Septiembre,Jueves,Black Friday,352
184,Parlante,Accesorios,1427.25,45,73,No,2.4,5991,Diciembre,Martes,Navidad,316
185,Monitor,Oficina,2588.36,50,190,No,3.4,4174,Enero,Miercoles,Black Friday,287
186,Tablet,Accesorios,1257.74,48,196,No,2.2,9492,Agosto,Lunes,Campaña Escolar,323
187,Parlante,Tecnologia,3323.59,46,161,No,4.7,6262,Agosto,Lunes,Navidad,283
188,Laptop,Accesorios,1898.65,18,236,Si,4.4,7151,Julio,Domingo,Campaña Escolar,288
189,Celular,Computo,3344.22,42,491,Si,3.5,7667,Junio,Viernes,Black Friday,380
190,Parlante,Computo,2415.64,41,34,No,2.0,1302,Noviembre,Domingo,Navidad,267
191,Impresora,Oficina,28.14,50,487,Si,1.0,6717,Septiembre,Lunes,Navidad,391
192,Monitor,Computo,3212.25,16,339,No,3.8,8032,Abril,Sabado,Normal,212
193,Mouse,Tecnologia,321.73,15,225,Si,4.0,2758,Agosto,Martes,Fiestas Patrias,279
194,Laptop,Computo,2237.57,7,34,No,4.6,5437,Enero,Miercoles,Fiestas Patrias,216
195,Tablet,Accesorios,789.81,25,498,Si,4.8,8288,Abril,Viernes,Black Friday,398
196,Teclado,Accesorios,3497.75,25,478,Si,2.9,440,Febrero,Viernes,Black Friday,246
197,Celular,Gaming,138.13,6,146,No,1.8,8057,Marzo,Martes,Black Friday,286
198,Celular,Computo,2959.03,17,452,No,4.3,5442,Noviembre,Lunes,Black Friday,270
199,Silla Gamer,Gaming,2282.58,23,492,No,3.2,8030,Marzo,Lunes,Black Friday,319
200,Router,Computo,1202.76,22,373,No,3.3,6690,Noviembre,Jueves,Fiestas Patrias,267
201,Parlante,Computo,1893.64,21,418,Si,4.0,8734,Abril,Jueves,Black Friday,333
202,Monitor,Oficina,104.91,41,43,No,1.1,3860,Octubre,Miercoles,Navidad,296
203,Escritorio,Computo,263.7,45,38,No,4.1,8486,Enero,Domingo,Black Friday,429
204,Laptop,Gaming,965.47,9,423,No,2.7,3480,Noviembre,Domingo,Normal,171
205,Parlante,Computo,1838.37,0,487,Si,1.0,1215,Abril,Viernes,Fiestas Patrias,194
206,Silla Gamer,Accesorios,2510.13,36,162,Si,2.1,8223,Octubre,Miercoles,Campaña Escolar,299
207,Disco SSD,Tecnologia,176.95,14,314,Si,2.6,9205,Mayo,Domingo,Black Friday,370
208,Router,Computo,3307.67,10,71,No,3.5,7928,Diciembre,Martes,Normal,171
209,Impresora,Oficina,3469.27,7,157,No,4.4,5479,Marzo,Martes,Campaña Escolar,188
210,Camara,Gaming,822.73,33,322,No,1.9,6452,Mayo,Domingo,Campaña Escolar,334
211,Disco SSD,Oficina,2895.2,4,270,Si,3.5,776,Mayo,Sabado,Fiestas Patrias,204
212,Celular,Tecnologia,2442.15,23,12,No,4.3,4926,Marzo,Domingo,Campaña Escolar,208
213,Parlante,Gaming,798.89,46,98,Si,3.4,1983,Junio,Lunes,Black Friday,337
214,Audifonos,Gaming,1381.27,27,38,No,4.6,5066,Febrero,Jueves,Fiestas Patrias,279
215,Router,Oficina,2985.63,41,18,Si,2.3,9802,Noviembre,Miercoles,Normal,278
216,Celular,Tecnologia,1441.42,14,47,Si,2.0,4022,Octubre,Viernes,Fiestas Patrias,224
217,Silla Gamer,Tecnologia,189.77,17,463,No,4.8,9953,Noviembre,Domingo,Black Friday,354
218,Silla Gamer,Oficina,2982.2,39,310,Si,2.9,2446,Febrero,Martes,Normal,251
219,Audifonos,Oficina,3174.67,2,65,Si,3.6,6233,Febrero,Lunes,Campaña Escolar,168
220,Tablet,Oficina,3077.63,18,345,No,3.6,1754,Junio,Sabado,Navidad,219
221,Router,Accesorios,1182.35,44,354,No,4.7,4336,Julio,Sabado,Normal,272
222,Router,Oficina,3088.1,44,323,Si,2.9,5200,Mayo,Lunes,Fiestas Patrias,327
223,Celular,Oficina,2893.84,9,169,Si,2.3,3791,Abril,Domingo,Fiestas Patrias,230
224,Silla Gamer,Computo,920.24,1,233,Si,1.3,9932,Septiembre,Sabado,Fiestas Patrias,272
225,Tablet,Computo,3434.53,16,369,Si,2.0,4593,Abril,Lunes,Black Friday,289
226,Silla Gamer,Accesorios,392.29,29,464,Si,3.2,9489,Noviembre,Sabado,Navidad,400
227,Laptop,Computo,2943.62,27,69,Si,1.7,5134,Abril,Martes,Navidad,251
228,Mouse,Gaming,2702.57,3,228,Si,1.7,9159,Abril,Viernes,Campaña Escolar,244
229,Impresora,Accesorios,2485.83,0,31,Si,3.5,6403,Octubre,Lunes,Fiestas Patrias,217
230,Teclado,Gaming,105.56,10,42,Si,2.3,9695,Mayo,Domingo,Campaña Escolar,276
231,Silla Gamer,Tecnologia,1650.52,3,474,Si,1.4,88,Marzo,Lunes,Fiestas Patrias,207
232,Router,Computo,1058.34,31,139,Si,4.1,3205,Enero,Martes,Fiestas Patrias,293
233,Teclado,Oficina,2297.7,26,204,No,4.8,1038,Septiembre,Lunes,Normal,183
234,Celular,Computo,2242.07,5,156,No,2.1,5676,Septiembre,Viernes,Normal,162
235,Camara,Accesorios,1444.48,37,24,No,4.0,3106,Octubre,Lunes,Navidad,249
236,Celular,Tecnologia,3027.97,15,36,No,4.9,6623,Enero,Jueves,Black Friday,279
237,Silla Gamer,Tecnologia,728.88,28,318,Si,1.6,1100,Agosto,Sabado,Black Friday,296
238,Disco SSD,Tecnologia,2199.25,43,190,Si,4.6,4523,Junio,Viernes,Campaña Escolar,333
239,Teclado,Computo,2165.94,45,24,No,2.9,1925,Octubre,Sabado,Navidad,233
240,Tablet,Gaming,1730.75,21,126,No,3.4,633,Septiembre,Miercoles,Black Friday,211
241,Mouse,Tecnologia,1100.06,12,218,Si,1.0,8515,Noviembre,Sabado,Navidad,272
242,Tablet,Oficina,3411.96,37,41,No,3.6,8970,Abril,Jueves,Fiestas Patrias,313
243,Tablet,Oficina,3013.23,37,434,No,1.2,263,Diciembre,Lunes,Fiestas Patrias,194
244,Impresora,Computo,377.72,45,169,Si,1.1,2770,Junio,Martes,Black Friday,343
245,Mouse,Tecnologia,1967.58,31,251,No,2.3,51,Febrero,Jueves,Normal,192
246,Smartwatch,Accesorios,307.13,12,125,No,2.4,3224,Septiembre,Lunes,Navidad,223
247,Silla Gamer,Tecnologia,481.85,38,99,Si,3.8,3091,Julio,Miercoles,Black Friday,342
248,Audifonos,Gaming,3331.39,2,132,Si,1.1,6967,Mayo,Miercoles,Normal,156
249,Teclado,Oficina,2165.78,30,425,No,2.2,8957,Abril,Domingo,Normal,276
250,Parlante,Gaming,2810.01,46,260,Si,2.9,508,Junio,Lunes,Fiestas Patrias,286
251,Smartwatch,Oficina,3133.96,3,399,Si,4.3,8651,Septiembre,Domingo,Navidad,275
252,Router,Computo,590.72,13,468,No,3.9,7229,Enero,Martes,Fiestas Patrias,282
253,Disco SSD,Computo,879.92,12,34,Si,4.5,3688,Junio,Lunes,Campaña Escolar,275
254,Router,Oficina,3053.98,31,316,Si,1.6,7107,Febrero,Martes,Normal,255
255,Escritorio,Gaming,2293.36,36,361,No,3.2,9324,Abril,Jueves,Black Friday,327
256,Impresora,Accesorios,2387.19,28,447,Si,1.1,402,Junio,Miercoles,Fiestas Patrias,241
257,Disco SSD,Tecnologia,2944.77,48,359,Si,4.8,1006,Marzo,Martes,Navidad,335
258,Silla Gamer,Tecnologia,2579.02,19,453,No,1.2,1762,Mayo,Jueves,Black Friday,235
259,Router,Oficina,1808.71,40,429,Si,1.1,5681,Julio,Miercoles,Campaña Escolar,345
260,Impresora,Oficina,2779.49,38,435,No,5.0,9511,Febrero,Miercoles,Navidad,396
261,Camara,Computo,1269.85,2,246,Si,2.9,3008,Enero,Martes,Black Friday,255
262,Laptop,Accesorios,1430.48,29,96,No,3.5,575,Mayo,Martes,Campaña Escolar,190
263,Audifonos,Computo,3400.45,36,334,No,1.3,4698,Febrero,Lunes,Black Friday,277
264,Teclado,Accesorios,1569.66,38,482,No,3.7,3864,Julio,Viernes,Campaña Escolar,283
265,Mouse,Oficina,589.06,24,37,Si,2.0,9494,Diciembre,Lunes,Black Friday,344
266,Celular,Tecnologia,2103.52,35,310,No,1.9,6480,Junio,Viernes,Black Friday,303
267,Escritorio,Oficina,841.46,2,127,Si,1.7,5774,Mayo,Lunes,Black Friday,272
268,Impresora,Accesorios,1519.49,19,273,Si,3.5,6706,Octubre,Jueves,Fiestas Patrias,284
269,Tablet,Tecnologia,898.8,19,293,No,1.1,6102,Abril,Jueves,Navidad,270
270,Camara,Tecnologia,2740.63,43,321,No,3.3,1792,Julio,Domingo,Fiestas Patrias,210
271,Monitor,Computo,1962.33,19,379,Si,4.9,1018,Marzo,Lunes,Navidad,287
272,Camara,Gaming,156.92,34,207,No,1.7,5228,Abril,Domingo,Fiestas Patrias,280
273,Escritorio,Accesorios,1120.22,48,188,No,1.2,4635,Abril,Lunes,Campaña Escolar,272
274,Monitor,Accesorios,2407.17,33,226,Si,3.6,9450,Octubre,Martes,Normal,261
275,Smartwatch,Oficina,2038.79,46,436,No,3.0,7645,Agosto,Domingo,Navidad,334
276,Silla Gamer,Gaming,481.85,15,443,No,1.8,4520,Noviembre,Sabado,Navidad,261
277,Parlante,Computo,585.09,20,138,No,3.9,6862,Marzo,Jueves,Normal,261
278,Celular,Computo,636.48,33,202,No,4.4,6139,Mayo,Viernes,Normal,271
279,Camara,Tecnologia,80.96,17,154,Si,4.3,352,Mayo,Jueves,Black Friday,266
280,Laptop,Computo,3259.7,45,461,No,3.7,3174,Mayo,Lunes,Normal,251
